name,age,team,rating,value,wage,contract,Posts
A. Lookman,24,Atalanta,78,€19M,€42K,2022 ~ 2026,"['LM', 'RM']"
R. Le Normand,25,Real Sociedad,81,€34M,€36K,2016 ~ 2026,['CB']
A. Davies,21,FC Bayern München,84,€60.5M,€59K,2019 ~ 2025,"['LB', 'LM']"
Diogo Dalot,23,Manchester United,80,€31M,€90K,2018 ~ 2024,['RB']
M. Edwards,23,Sporting CP,79,€27.5M,€16K,2022 ~ 2026,"['RW', 'LW', 'ST']"
T. Almada,21,Atlanta United,76,€17M,€7K,2022 ~ 2025,"['CAM', 'CM', 'CF']"
H. Elliott,19,Liverpool,75,€13.5M,€44K,2019 ~ 2027,"['CAM', 'CM', 'RW']"
A. Hložek,19,Bayer 04 Leverkusen,76,€16M,€25K,2022 ~ 2027,"['CAM', 'LM', 'ST']"
N. Rovella,20,Monza,77,€23M,€62K,"Jun 30, 2023 On Loan","['CM', 'CDM']"
K. Sulemana,20,Rennes,74,€9.5M,€27K,2021 ~ 2026,"['LM', 'ST', 'LW']"
Gonçalo Inácio,20,Sporting CP,79,€36M,€11K,2019 ~ 2026,['CB']
B. Celina,25,Kasımpaşa,70,€1.9M,€5K,"May 31, 2023 On Loan","['LM', 'CAM']"
Gabriel Jesus,25,Arsenal,84,€53.5M,€130K,2022 ~ 2027,"['ST', 'RW']"
M. Škriniar,27,Inter,86,€68.5M,€105K,2017 ~ 2023,['CB']
Gabriel,24,Arsenal,81,€35M,€74K,2020 ~ 2027,['CB']
D. Kamada,25,Eintracht Frankfurt,83,€43.5M,€43K,2017 ~ 2023,"['CAM', 'CF', 'CM']"
A. Mac Allister,23,Brighton & Hove Albion,78,€21M,€56K,2019 ~ 2025,"['CM', 'CAM']"
B. Badiashile,21,Chelsea,77,€22M,€57K,2023 ~ 2030,['CB']
N. Schlotterbeck,22,Borussia Dortmund,81,€37.5M,€43K,2022 ~ 2027,['CB']
Bruno Guimarães,24,Newcastle United,83,€52M,€105K,2022 ~ 2026,"['CM', 'CDM']"
K. Koné,21,Borussia Mönchengladbach,77,€23.5M,€21K,2021 ~ 2025,['CM']
Vitinha,22,Paris Saint Germain,79,€39.5M,€68K,2022 ~ 2027,"['CM', 'CAM']"
M. Cho,18,Real Sociedad,72,€5.5M,€9K,2022 ~ 2027,['ST']
Fábio Vieira,22,Arsenal,77,€23.5M,€62K,2022 ~ 2027,"['CAM', 'RM']"
B. Dieng,22,Olympique Marseille,74,€8.5M,€30K,2021 ~ 2024,['ST']
J. Bynoe-Gittens,17,Borussia Dortmund,67,€2.8M,€2K,2022 ~ 2025,"['LM', 'RM']"
A. Fatawu Issahaku,18,Sporting CP,67,€2.6M,€2K,2022 ~ 2027,"['CAM', 'RW']"
R. Lewandowski,33,FC Barcelona,91,€84M,€420K,2022 ~ 2025,['ST']
L. Martínez,24,Inter,86,€98.5M,€110K,2018 ~ 2026,['ST']
K. Mbappé,23,Paris Saint Germain,91,€190.5M,€230K,2018 ~ 2024,"['ST', 'LW']"
Diogo Costa,22,Porto,81,€33.5M,€12K,2016 ~ 2026,['GK']
Kim Min Jae,25,Napoli,79,€22M,€49K,2022 ~ 2025,['CB']
A. Bastoni,23,Inter,84,€60.5M,€75K,2017 ~ 2024,['CB']
F. Valverde,23,Real Madrid,85,€81M,€190K,2016 ~ 2027,"['CM', 'RW']"
Cucurella,23,Chelsea,81,€34.5M,€90K,2022 ~ 2028,"['LB', 'CB', 'LWB']"
S. Tonali,22,Milan,84,€62.5M,€75K,2021 ~ 2027,"['CDM', 'CM']"
A. Sambi Lokonga,22,Arsenal,75,€10.5M,€49K,2021 ~ 2026,"['CDM', 'CM']"
Fran García,22,Rayo Vallecano,75,€12M,€15K,2021 ~ 2025,"['LB', 'LM']"
W. Fofana,21,Chelsea,79,€33M,€67K,2022 ~ 2028,['CB']
Ansu Fati,19,FC Barcelona,79,€38M,€84K,2018 ~ 2027,['LW']
A. Németh,19,Genk,65,€1.7M,€3K,2019 ~ 2023,['ST']
B. Šeško,19,Salzburg,72,€5.5M,€13K,2021 ~ 2026,['ST']
M. Baturina,19,Dinamo Zagreb,70,€4.1M,€500,2021 ~ 2027,"['CM', 'CAM']"
Luiz Henrique,21,Real Betis,71,€4.2M,€11K,2022 ~ 2028,"['RM', 'LM']"
E. Nuamah,18,Nordsjælland,62,€1M,€1K,2022 ~ 2024,"['LW', 'ST']"
R. Lewis,17,Manchester City,65,€2.2M,€1K,2022 ~ 2024,"['RB', 'RWB']"
S. Kozuki,21,Schalke 04,62,€900K,€3K,2023 ~ 2025,['RM']
Rúben Neves,25,Wolverhampton Wanderers,84,€50.5M,€105K,2017 ~ 2024,"['CDM', 'CM']"
R. Bentancur,25,Tottenham Hotspur,81,€35.5M,€95K,2022 ~ 2026,['CM']
D. Frattesi,22,Sassuolo,78,€31.5M,€30K,2017 ~ 2026,"['CM', 'CDM']"
J. Koundé,23,FC Barcelona,84,€57.5M,€150K,2022 ~ 2027,"['CB', 'RB']"
O. Kökçü,21,Feyenoord,80,€33.5M,€12K,2017 ~ 2025,"['CM', 'CAM']"
D. Spence,21,Tottenham Hotspur,75,€12M,€44K,2022 ~ 2027,"['RWB', 'RB']"
M. Simakan,22,RB Leipzig,79,€37M,€43K,2021 ~ 2027,"['CB', 'RB']"
S. Dest,21,Milan,77,€22.5M,€71K,"Jun 30, 2023 On Loan","['RB', 'RM', 'LB']"
J. Timber,21,Ajax,80,€44.5M,€14K,2019 ~ 2025,"['CB', 'RB']"
P. Reyna,20,Melgar,71,€3.9M,€500,2019 ~ 2022,"['LB', 'LM']"
J. Lepenant,19,Olympique Lyonnais,72,€4.8M,€18K,2022 ~ 2027,"['CDM', 'CM']"
F. Parisi,21,Empoli,74,€9M,€7K,2020 ~ 2025,['LB']
G. Xhaka,29,Arsenal,81,€22M,€90K,2016 ~ 2024,"['CDM', 'CM']"
J. Brandt,26,Borussia Dortmund,82,€40M,€60K,2019 ~ 2024,"['CAM', 'RM', 'CM']"
Rúben Neves,25,Wolverhampton Wanderers,84,€50.5M,€105K,2017 ~ 2024,"['CDM', 'CM']"
Z. Ibrahimović,40,Milan,82,€0,€63K,2020 ~ 2023,['ST']
L. Shaw,26,Manchester United,81,€27.5M,€115K,2014 ~ 2024,['LB']
D. Calvert-Lewin,25,Everton,79,€23.5M,€49K,2016 ~ 2025,['ST']
D. Ćaleta-Car,25,Southampton,78,€17.5M,€48K,2022 ~ 2026,['CB']
L. Pellegrini,26,Roma,84,€55M,€95K,2017 ~ 2026,"['CAM', 'CM']"
Raphinha,25,FC Barcelona,83,€43.5M,€180K,2022 ~ 2027,"['RW', 'RM']"
Matheus Cunha,23,Wolverhampton Wanderers,80,€32M,€56K,"Jun 30, 2023 On Loan","['ST', 'CAM', 'LM']"
Pedro Gonçalves,24,Sporting CP,82,€46M,€20K,2020 ~ 2026,"['LW', 'RW', 'CM']"
O. Solet,22,Salzburg,75,€12M,€20K,2020 ~ 2025,['CB']
João Félix,22,Chelsea,83,€59M,€71K,"Jun 30, 2023 On Loan","['CF', 'ST']"
B. Sosa,24,VfB Stuttgart,79,€23.5M,€24K,2018 ~ 2025,"['LB', 'LM', 'LWB']"
Dani Olmo,24,RB Leipzig,82,€46M,€59K,2020 ~ 2024,"['CAM', 'CF']"
J. Álvarez,22,Manchester City,79,€36M,€110K,2022 ~ 2027,"['ST', 'RW', 'LW']"
Bryan Gil,21,Tottenham Hotspur,76,€15M,€52K,2021 ~ 2026,"['LM', 'RM']"
J. Branthwaite,20,PSV,68,€3M,€10K,"Jun 30, 2023 On Loan",['CB']
Nuno Tavares,22,Olympique Marseille,76,€14.5M,€52K,"Jun 30, 2023 On Loan","['LB', 'LM']"
B. Brobbey,20,Ajax,77,€23.5M,€14K,2022 ~ 2027,['ST']
A. Ounahi,22,Angers SCO,73,€7M,€17K,2021 ~ 2026,['CM']
L. Netz,19,Borussia Mönchengladbach,73,€6.5M,€11K,2021 ~ 2026,"['LB', 'LM']"
J. Musiala,19,FC Bayern München,83,€78.5M,€46K,2020 ~ 2026,"['CAM', 'LM', 'CM']"
L. Delap,19,Stoke City,66,€2.2M,€17K,"Jun 30, 2023 On Loan",['ST']
M. Kerkez,18,AZ,72,€5M,€2K,2022 ~ 2026,['LB']
H. Vale,18,Hull City,63,€1.3M,€1K,2020 ~ 2025,"['CAM', 'RW', 'LW']"
R. Wilson,16,Aston Villa,59,€900K,€2K,2022 ~ 2026,['ST']
M. Maignan,26,Milan,87,€80M,€90K,2021 ~ 2026,['GK']
S. Fofana,27,Lens,81,€27.5M,€43K,2020 ~ 2024,['CM']
A. Saint-Maximin,25,Newcastle United,81,€32.5M,€95K,2019 ~ 2026,"['LM', 'LW']"
G. Escalante,29,Cremonese,76,€6.5M,€40K,"Jun 30, 2023 On Loan","['CDM', 'CM']"
L. Ajorque,28,Strasbourg,79,€18M,€36K,2018 ~ 2024,['ST']
N. Pépé,27,Nice,79,€18.5M,€83K,"Jun 30, 2023 On Loan","['RM', 'LM', 'LW']"
C. Pulisic,23,Chelsea,82,€48M,€120K,2019 ~ 2024,"['LW', 'RW', 'LM']"
D. Zakaria,25,Chelsea,81,€34.5M,€95K,"Jun 30, 2023 On Loan","['CDM', 'CM']"
N. Molina,24,Atlético Madrid,79,€26.5M,€48K,2022 ~ 2027,"['RM', 'RWB', 'RB']"
A. Vega,24,,79,€0,€0,Free,"['LW', 'ST', 'LM']"
F. Kadioglu,22,Fenerbahçe,74,€6.5M,€39K,2018 ~ 2026,"['LB', 'RB', 'LM']"
M. Guendouzi,23,Olympique Marseille,80,€33M,€41K,2022 ~ 2025,"['CM', 'CDM']"
J. Willock,22,Newcastle United,76,€15M,€61K,2021 ~ 2026,['CM']
Ferran Torres,22,FC Barcelona,82,€49M,€150K,2022 ~ 2027,"['LW', 'ST']"
J. Wind,23,VfL Wolfsburg,76,€11.5M,€38K,2022 ~ 2026,"['ST', 'CF']"
R. Aït Nouri,21,Wolverhampton Wanderers,76,€16M,€43K,2021 ~ 2026,"['LB', 'LWB']"
M. Vandevoordt,20,Genk,72,€4.9M,€6K,2018 ~ 2023,['GK']
E. Loiodice,21,Las Palmas,72,€5.5M,€5K,2020 ~ 2023,"['CDM', 'CM']"
J. David,22,Lille,79,€28.5M,€37K,2020 ~ 2025,['ST']
S. Diop,22,Nice,78,€22.5M,€38K,2022 ~ 2027,"['LM', 'RM', 'CF']"
S. Giménez,21,Feyenoord,75,€12.5M,€9K,2022 ~ 2026,['ST']
X. Simons,19,PSV,75,€13.5M,€10K,2022 ~ 2027,"['CAM', 'ST', 'RW']"
J. Lindstrøm,22,Eintracht Frankfurt,77,€21.5M,€25K,2021 ~ 2026,"['CAM', 'CF', 'RM']"
J. Gelhardt,20,Leeds United,72,€5M,€22K,2020 ~ 2027,"['ST', 'CF']"
A. Bella Kotchap,20,Southampton,74,€8.5M,€28K,2022 ~ 2026,['CB']
J. Kamiński,20,VfL Wolfsburg,74,€9.5M,€26K,2022 ~ 2027,"['LM', 'LW']"
G. Raspadori,22,Napoli,79,€36M,€37K,"Jun 30, 2023 On Loan","['CF', 'CAM', 'ST']"
L. Sučić,19,Salzburg,74,€9M,€14K,2019 ~ 2025,"['CAM', 'CM']"
N. Ahamada,20,VfB Stuttgart,70,€3.5M,€10K,2021 ~ 2026,['CM']
E. Ferguson,17,Brighton & Hove Albion,63,€1.2M,€2K,2021 ~ 2026,"['ST', 'CF']"
C. Patino,18,Blackpool,65,€1.8M,€6K,"Jun 30, 2023 On Loan","['CM', 'CDM']"
D. Fofana,19,Chelsea,68,€2.9M,€21K,2023 ~ 2024,['ST']
A. Scott,18,Bristol City,68,€2.8M,€5K,2021 ~ 2025,"['CM', 'CAM', 'RM']"
M. Balotelli,31,Sion,77,€9M,€30K,2022 ~ 2024,['ST']
K. De Bruyne,31,Manchester City,91,€107.5M,€350K,2015 ~ 2025,"['CM', 'CAM']"
J. Guilavogui,31,VfL Wolfsburg,75,€3.9M,€35K,2016 ~ 2023,"['CDM', 'CB']"
W. Zaha,29,Crystal Palace,82,€30M,€85K,2015 ~ 2023,"['LW', 'CF']"
S. Gnabry,26,FC Bayern München,84,€46M,€90K,2017 ~ 2026,"['RM', 'LM']"
S. Mané,30,FC Bayern München,89,€101M,€155K,2022 ~ 2025,"['CF', 'LM']"
L. Goretzka,27,FC Bayern München,87,€91M,€115K,2018 ~ 2026,"['CM', 'CDM']"
A. Martial,26,Manchester United,80,€25M,€125K,2015 ~ 2024,"['ST', 'LM']"
Anderson Talisca,28,Al Nassr,82,€31M,€64K,2021 ~ 2024,"['CF', 'ST', 'CAM']"
Adama Traoré,26,Wolverhampton Wanderers,77,€12.5M,€77K,2018 ~ 2023,"['RW', 'LW', 'ST']"
Y. Sommer,33,Borussia Mönchengladbach,86,€22M,€43K,2014 ~ 2023,['GK']
P. Aubameyang,33,Chelsea,84,€27M,€165K,2022 ~ 2024,['ST']
A. Griezmann,31,Atlético Madrid,84,€35.5M,€88K,2022 ~ 2026,"['ST', 'CF']"
Casemiro,30,Manchester United,89,€86M,€240K,2022 ~ 2026,['CDM']
H. Ziyech,29,Chelsea,83,€35.5M,€155K,2020 ~ 2025,"['RW', 'CAM']"
P. Dybala,28,Roma,86,€69.5M,€130K,2022 ~ 2025,"['CF', 'CAM']"
D. Alli,26,Beşiktaş,76,€10M,€37K,"May 31, 2023 On Loan","['CAM', 'CM']"
Bruno Fernandes,27,Manchester United,86,€72.5M,€190K,2020 ~ 2026,"['CAM', 'CM']"
Bernardo Silva,27,Manchester City,88,€97.5M,€260K,2017 ~ 2025,"['CAM', 'CM']"
R. Bensebaini,27,Borussia Mönchengladbach,80,€22M,€33K,2019 ~ 2023,"['LB', 'CB']"
N. Barella,25,Inter,86,€89.5M,€110K,2020 ~ 2026,['CM']
G. Lo Celso,26,Villarreal,81,€33.5M,€100K,"Jun 30, 2023 On Loan","['CAM', 'LM', 'ST']"
A. Wan-Bissaka,24,Manchester United,79,€22M,€86K,2019 ~ 2024,['RB']
F. Kessié,25,FC Barcelona,84,€47.5M,€165K,2022 ~ 2026,"['CDM', 'CM', 'CAM']"
M. Almirón,28,Newcastle United,80,€21M,€105K,2019 ~ 2024,"['RW', 'RM']"
E. Mor,24,Fenerbahçe,73,€4M,€39K,2022 ~ 2025,"['RM', 'LM']"
T. Alexander-Arnold,23,Liverpool,86,€86M,€140K,2015 ~ 2025,['RB']
M. Mount,23,Chelsea,83,€49.5M,€120K,2016 ~ 2024,"['CAM', 'RW', 'CM']"
P. Schick,26,Bayer 04 Leverkusen,84,€53M,€88K,2020 ~ 2027,['ST']
Jota,23,Celtic,76,€15M,€46K,2021 ~ 2027,"['LW', 'RW']"
J. Brekalo,24,VfL Wolfsburg,79,€24.5M,€48K,2021 ~ 2023,"['CF', 'LM']"
E. Ndicka,22,Eintracht Frankfurt,80,€29.5M,€28K,2018 ~ 2023,['CB']
Y. Bissouma,25,Tottenham Hotspur,80,€26.5M,€82K,2022 ~ 2026,"['CDM', 'CM']"
C. Gallagher,22,Chelsea,78,€28.5M,€81K,2017 ~ 2025,['CM']
E. Elmas,22,Napoli,78,€28.5M,€44K,2019 ~ 2025,"['CAM', 'CM', 'LW']"
C. Bassey,22,Ajax,75,€12M,€12K,2022 ~ 2027,"['CB', 'LB']"
A. Tchouaméni,22,Real Madrid,83,€53.5M,€145K,2022 ~ 2028,"['CDM', 'CM']"
R. Faivre,23,Olympique Lyonnais,77,€16.5M,€49K,2022 ~ 2026,"['RM', 'CM', 'CAM']"
S. Bornauw,23,VfL Wolfsburg,75,€7.5M,€30K,2021 ~ 2026,['CB']
J. Burkardt,21,FSV Mainz 05,75,€12.5M,€21K,2018 ~ 2024,"['ST', 'CF', 'RW']"
Eric García,21,FC Barcelona,76,€14M,€67K,2021 ~ 2026,['CB']
