name,age,position,Country,MarketValue,PreviousTeam,LeagueOfPreviousTeam,CountryOfPreviousTeam,Fee,YearOfTranfert,NewTeam,LeagueOfNewTeam,CountryOfNewTeam,Height,Agent,JoinedCurrentTeam,ContratExpires,Squad,Appearances,PPG,Goals,Assists,OwnGoals,SubsON,SubsOFF,YellowCards,SecondYellowCards,RedCards,PenaltyGoals,MinutesPerGoal,MinutesPlayed,PlaceOfBirth,DateOfBirth
Manuel Fernandes ,21,Central Midfield,Portugal,€8.50m,SL Benfica,Liga Portugal,Portugal,€18.00m,2007,Valencia CF,LaLiga,Spain,"1,76 m",NONE,"Jul 23, 2022","Jun 30, 2023",32,27,1.70,0,3,0,10,10,5,0,0,0,0,1.710',                                    Lissabon                                ,"                                Feb 5, 1986                                                                    (37)                                                            "
Éver Banega ,19,Central Midfield,Argentina,€15.00m,CA Boca Juniors,Clausura,Argentina,€18.00m,2007,Valencia CF,LaLiga,Spain,"1,74 m",NONE,"Sep 15, 2020","Jun 30, 2023",38,33,1.70,0,4,0,6,15,3,1,0,0,0,2.195',                                    Rosario                                ,"                                Jun 29, 1988                                                                    (34)                                                            "
Abdul Kader Keita ,25,Right Winger,Cote d'Ivoire,€18.00m,LOSC Lille,Ligue 1,France,€16.80m,2007,Olympique Lyon,Ligue 1,France,"1,84 m",NONE,"                                    Mar 1, 2015                                ","                                Aug 6, 1981                                                                    (41)                                                            ",45,42,2.12,5,7,0,18,16,6,0,0,0,452',2.261',                                Cote d'Ivoire                            ,                                    Abidjan                                
Ryan Babel ,20,Left Winger,Netherlands,€5.00m,Ajax Amsterdam,Eredivisie,Netherlands,€17.25m,2007,Liverpool FC,Premier League,England,"1,85 m",NONE,"Jul 22, 2022","Jun 30, 2023",53,49,1.98,10,8,0,20,23,3,0,0,0,260',2.604',                                    Amsterdam                                ,"                                Dec 19, 1986                                                                    (36)                                                            "
Afonso Alves ,26,Centre-Forward,Brazil,€13.00m,SC Heerenveen,Eredivisie,Netherlands,€17.00m,2007,Middlesbrough FC,Premier League,England,"1,85 m",NONE,"                                    Oct 5, 2015                                ","                                Jan 30, 1981                                                                    (42)                                                            ",25,25,1.32,17,1,0,6,7,1,0,1,0,97',1.655',                                Brazil                            ,                                    Belo Horizonte                                
José Antonio Reyes ,23,Right Winger,Spain,€16.70m,Arsenal FC,Premier League,England,€12.00m,2007,Atlético de Madrid,LaLiga,Spain,"                                1,76 m                            ",NONE,                                    Utrera                                ,                                Spain                            ,42,37,1.70,0,4,0,20,11,8,1,1,0,0,1.786',                            Right Winger                        ,01.06.2019 (35)
Yakubu Aiyegbeni ,24,Centre-Forward,Nigeria,€12.00m,Middlesbrough FC,Premier League,England,€16.50m,2007,Everton FC,Premier League,England,"1,83 m",NONE,"                                    Jul 1, 2017                                ","                                Nov 22, 1982                                                                    (40)                                                            ",44,41,1.59,21,4,0,4,24,4,0,0,1,149',3.130',                                Nigeria                            ,                                    Benin City                                
Cristian Chivu ,26,Centre-Back,Romania,-,AS Roma,Serie A,Italy,€16.00m,2007,FC Internazionale,Serie A,Italy,"1,84 m",NONE,Inter,"                                    Mar 31, 2014                                ",39,36,2.03,0,5,0,3,7,9,1,0,0,0,2.814',                                    Reşiţa                                ,"                                Oct 26, 1980                                                                    (42)                                                            "
Juan Román Riquelme ,29,Attacking Midfield,Argentina,€16.00m,Villarreal CF,LaLiga,Spain,€12.00m,2007,CA Boca Juniors,Clausura,Argentina,"1,83 m",NONE,Boca Juniors,"                                    Jan 25, 2015                                ",22,22,1.95,7,9,0,1,4,3,0,0,1,269',1.882',San Fernando de la ... ,"                                Jun 24, 1978                                                                    (44)                                                            "
Émerson ,31,Defensive Midfield,Brazil,€16.00m,Real Madrid,LaLiga,Spain,€5.00m,2007,AC Milan,Serie A,Italy,N/A,NONE,AS Roma,"                                    Oct 16, 2009                                ",33,22,1.73,0,0,0,14,4,3,0,0,0,0,825',                                    Pelotas                                ,"                                Apr 4, 1976                                                                    (46)                                                            "
Mirko Vucinic ,23,Centre-Forward,Montenegro,€9.00m,US Lecce,Serie B,Italy,€15.75m,2007,AS Roma,Serie A,Italy,"1,86 m",NONE,AS Roma,"                                    Jul 1, 2017                                ",52,48,2.06,14,9,0,14,15,9,0,0,0,231',3.235',                                    Nikšić                                ,"                                Oct 1, 1983                                                                    (39)                                                            "
Éric Abidal ,27,Left-Back,France,€13.50m,Olympique Lyon,Ligue 1,France,€15.00m,2007,FC Barcelona,LaLiga,Spain,"1,86 m",NONE,Barcelona,"                                    Jan 1, 2015                                ",56,46,1.83,0,0,0,3,2,3,0,0,0,0,3.863',                                    Lyon                                ,"                                Sep 11, 1979                                                                    (43)                                                            "
Mauro Zárate ,20,Centre-Forward,Argentina,€7.50m,CA Vélez Sarsfield,Clausura,Argentina,€15.00m,2007,Al-Sadd SC,Al-Sadd SC,Qatar,"1,75 m",Keyscout Football ,"Jan 31, 2023","Jun 30, 2023",15,14,1.00,4,1,0,8,3,1,0,0,0,152',608',                                    Morón                                ,"                                Mar 18, 1987                                                                    (36)                                                            "
Tiago Mendes ,26,Central Midfield,Portugal,€15.00m,Olympique Lyon,Ligue 1,France,€13.00m,2007,Juventus FC,Serie A,Italy,"1,83 m",Gestifute ,Atlético Madrid,"                                    Jul 14, 2017                                ",43,23,1.96,0,4,0,10,6,4,0,0,0,0,1.224',                                    Viana do Castelo                                ,"                                May 2, 1981                                                                    (41)                                                            "
Cicinho ,27,Right-Back,Brazil,€15.00m,Real Madrid,LaLiga,Spain,€11.00m,2007,AS Roma,Serie A,Italy,"1,71 m",NONE,"                                    Mar 1, 2018                                ","                                Jun 24, 1980                                                                    (42)                                                            ",54,44,2.11,2,6,0,17,4,4,1,0,0,1.313',2.626',                                Brazil                            ,                                    Pradópolis                                
Manuel Fernandes ,21,Central Midfield,Portugal,€15.00m,Valencia CF,LaLiga,Spain,Loan fee:€750k,2007,Everton FC,Premier League,England,"1,76 m",NONE,"Jul 23, 2022","Jun 30, 2023",32,27,1.70,0,3,0,10,10,5,0,0,0,0,1.710',                                    Lissabon                                ,"                                Feb 5, 1986                                                                    (37)                                                            "
Gareth Bale ,17,Right Winger,Wales,€7.50m,Southampton FC,Championship,England,€14.70m,2007,Tottenham Hotspur,Premier League,England,"1,86 m",CAA Stellar ,"                                    Jan 9, 2023                                ","                                Jul 16, 1989                                                                    (33)                                                            ",12,12,1.17,3,1,0,2,3,1,0,0,0,275',824',                                Wales                            ,                                    Cardiff                                
Marcell Jansen ,21,Centre-Forward,Germany,€10.00m,Borussia Mönchengladbach,2. Bundesliga,Germany,€14.00m,2007,Bayern Munich,Bundesliga,Germany,"1,91 m",NONE,"Jan 30, 2018","Jun 30, 2023",38,33,2.27,0,3,0,2,5,1,0,0,0,0,2.793',                                    Mönchengladbach                                ,"                                Nov 4, 1985                                                                    (37)                                                            "
Royston Drenthe ,20,Left Winger,Netherlands,€13.00m,Feyenoord Rotterdam,Eredivisie,Netherlands,€14.00m,2007,Real Madrid,LaLiga,Spain,"1,67 m",NONE,"Aug 22, 2022","Jun 30, 2023",38,26,1.73,3,2,0,16,7,1,0,0,0,346',1.037',                                    Rotterdam                                ,"                                Apr 8, 1987                                                                    (35)                                                            "
Nikola Zigic ,26,Centre-Forward,Serbia,€10.00m,Racing Santander,LaLiga,Spain,€14.00m,2007,Valencia CF,LaLiga,Spain,"2,02 m",NONE,Birmingham,"                                    Jul 1, 2015                                ",37,21,1.14,5,0,0,16,3,2,0,1,0,152',759',                                    Bačka Topola                                ,"                                Sep 25, 1980                                                                    (42)                                                            "
Willian ,19,Left Winger,Brazil,€11.00m,Sport Club Corinthians Paulista,Série A,Brazil,€14.00m,2007,Shakhtar Donetsk,Premier Liga,Ukraine,"1,75 m",NONE,"Sep 1, 2022","Jun 30, 2023",30,28,2.29,1,3,0,20,1,1,0,0,0,1.265',1.265',                                    Ribeirão Pires                                ,"                                Aug 9, 1988                                                                    (34)                                                            "
Matuzalém ,27,Defensive Midfield,Brazil,€14.00m,Shakhtar Donetsk,Premier Liga,Ukraine,€6.80m,2007,Real Zaragoza,LaLiga,Spain,"1,78 m",NONE,"                                    Jul 1, 2018                                ","                                Jun 10, 1980                                                                    (42)                                                            ",19,15,0.93,1,1,0,2,7,2,1,1,0,1.043',1.043',                                Brazil                            ,                                    Natal                                
Eduardo ,24,Centre-Forward,Croatia,€7.65m,GNK Dinamo Zagreb,SuperSport HNL,Croatia,€13.50m,2007,Arsenal FC,Premier League,England,"1,77 m",NONE,Shakhtar D.,"                                    Jan 1, 2019                                ",33,31,2.10,12,9,0,9,14,5,0,0,0,161',1.929',                                    Rio de Janeiro                                ,"                                Feb 25, 1983                                                                    (40)                                                            "
Djibril Cissé ,25,Centre-Forward,France,€13.50m,Liverpool FC,Premier League,England,€9.00m,2007,Olympique Marseille,Ligue 1,France,"1,82 m",NONE,AJ Auxerre,"                                    Jul 1, 2021                                ",51,50,1.60,22,5,0,10,10,8,0,0,1,177',3.885',                                    Arles                                ,"                                Aug 12, 1981                                                                    (41)                                                            "
Raúl García ,20,Centre-Forward,Spain,€12.00m,CA Osasuna,LaLiga,Spain,€13.00m,2007,Atlético de Madrid,LaLiga,Spain,"1,84 m",NONE,"Aug 30, 2015","Jun 30, 2023",50,49,1.92,4,2,0,5,11,13,1,1,0,951',3.805',                                    Zizur Mayor                                ,"                                Jul 11, 1986                                                                    (36)                                                            "
David Suazo ,27,Centre-Forward,Honduras,€13.00m,Cagliari Calcio,Serie A,Italy,€13.00m,2007,FC Internazionale,Serie A,Italy,"1,83 m",NONE,Cagliari Calcio,"                                    Mar 28, 2013                                ",44,37,1.95,8,4,0,22,7,0,0,1,0,216',1.730',                                    San Pedro Sula                                ,"                                Nov 5, 1979                                                                    (43)                                                            "
Rolando Bianchi ,24,Centre-Forward,Italy,€8.50m,Reggina Calcio,Serie A,Italy,€13.00m,2007,Manchester City,Premier League,England,"1,88 m",NONE,Torino,"                                    Aug 31, 2017                                ",44,41,1.49,9,5,0,20,14,2,1,0,1,229',2.059',                                    Lovere                                ,"                                Feb 15, 1983                                                                    (40)                                                            "
Vedran Corluka ,21,Centre-Back,Croatia,€4.10m,GNK Dinamo Zagreb,SuperSport HNL,Croatia,€13.00m,2007,Manchester City,Premier League,England,"1,92 m",NONE,Loko Moscow,"                                    Jul 1, 2021                                ",44,42,1.50,0,3,0,1,3,6,0,0,0,0,3.601',                                    Derventa                                ,"                                Feb 5, 1986                                                                    (37)                                                            "
Alan Hutton ,23,Right-Back,Scotland,€8.00m,Rangers FC,Premiership,Scotland,€13.00m,2007,Tottenham Hotspur,Premier League,England,"1,85 m",NONE,Aston Villa,"                                    Feb 19, 2020                                ",44,44,1.86,0,5,0,0,1,11,1,0,0,0,3.914',                                    Glasgow                                ,"                                Nov 30, 1984                                                                    (38)                                                            "
Gabriel Heinze ,29,Centre-Back,Argentina,€13.00m,Manchester United,Premier League,England,€12.00m,2007,Real Madrid,LaLiga,Spain,"1,79 m",NONE,Paris SG,"                                    Jul 1, 2014                                ",31,26,2.23,1,0,0,3,3,8,0,0,0,2.019',2.019',                                    Crespo                                ,"                                Apr 19, 1978                                                                    (44)                                                            "
Rolando Bianchi ,24,Centre-Forward,Italy,€13.00m,Manchester City,Premier League,England,loan transfer,2007,SS Lazio,Serie A,Italy,"1,88 m",NONE,Torino,"                                    Aug 31, 2017                                ",44,41,1.49,9,5,0,20,14,2,1,0,1,229',2.059',                                    Lovere                                ,"                                Feb 15, 1983                                                                    (40)                                                            "
Carlos Tevez ,23,Second Striker,Argentina,€12.00m,West Ham United,Premier League,England,Loan fee:€12.70m,2007,Manchester United,Premier League,England,"1,71 m",NONE,Boca Juniors,"                                    Jun 4, 2022                                ",51,48,2.40,19,7,0,9,17,2,0,0,0,183',3.478',                                    Ciudadela                                ,"                                Feb 5, 1984                                                                    (39)                                                            "
Nigel Reo-Coker ,23,Defensive Midfield,England,€4.30m,West Ham United,Premier League,England,€12.50m,2007,Aston Villa,Premier League,England,"1,75 m",NONE,"                                    Jul 1, 2018                                ","                                May 14, 1984                                                                    (38)                                                            ",39,39,1.59,1,2,1,0,5,8,1,0,0,3.355',3.355',                                England                            ,                                    London                                
Jorge Andrade ,29,Centre-Back,Portugal,€12.50m,Deportivo de La Coruña,LaLiga,Spain,€10.00m,2007,Juventus FC,Serie A,Italy,N/A,Gestifute ,Dep. La Coruña,"                                    Apr 1, 2009                                ",5,5,2.00,0,1,0,0,1,0,0,0,0,0,414',                                    Lisboa                                ,"                                Apr 9, 1978                                                                    (44)                                                            "
Nery Castillo ,23,Right Winger,Mexico,€12.50m,Shakhtar Donetsk,Premier Liga,Ukraine,Loan fee:€5.00m,2007,Manchester City,Premier League,England,"1,70 m",NONE,Olympiacos,"                                    Jul 1, 2014                                ",26,22,1.73,1,1,0,13,9,3,0,0,1,859',859',                                    San Luis Potosí                                ,"                                Jun 13, 1984                                                                    (38)                                                            "
Younès Kaboul ,21,Centre-Back,France,€7.50m,AJ Auxerre,Ligue 1,France,€12.00m,2007,Tottenham Hotspur,Premier League,England,"1,92 m",NONE,Tottenham,"                                    Jan 1, 2019                                ",34,29,1.45,4,2,0,3,6,3,0,0,0,553',2.212',Saint-Julien-en-Gene... ,"                                Jan 4, 1986                                                                    (37)                                                            "
Javier Arizmendi ,23,Centre-Forward,Spain,€6.00m,Deportivo de La Coruña,LaLiga,Spain,€12.00m,2007,Valencia CF,LaLiga,Spain,"1,91 m",NONE,"                                    Aug 22, 2014                                ","                                Mar 3, 1984                                                                    (39)                                                            ",49,41,1.71,1,5,0,19,7,6,1,0,0,2.004',2.004',                                Spain                            ,                                    Madrid                                
Elano ,26,Attacking Midfield,Brazil,€7.75m,Shakhtar Donetsk,Premier Liga,Ukraine,€12.00m,2007,Manchester City,Premier League,England,"1,74 m",NONE,"                                    Jan 1, 2017                                ","                                Jun 14, 1981                                                                    (41)                                                            ",38,38,1.42,10,8,0,5,24,4,0,0,3,277',2.766',                                Brazil                            ,                                    Iracemápolis                                
Kieron Dyer ,28,Right Midfield,England,€9.20m,Newcastle United,Premier League,England,€12.00m,2007,West Ham United,Premier League,England,"1,70 m",CAA Stellar ,Newcastle,"                                    Jul 1, 2013                                ",3,3,2.33,0,0,0,0,1,0,0,0,0,0,193',                                    Ipswich                                ,"                                Dec 29, 1978                                                                    (44)                                                            "
Arouna Koné ,23,Centre-Forward,Cote d'Ivoire,€8.50m,PSV Eindhoven,Eredivisie,Netherlands,€12.00m,2007,Sevilla FC,LaLiga,Spain,"1,81 m",Wasserman ,"Jul 29, 2022",-,39,26,1.77,2,1,0,16,7,0,0,0,0,507',1.014',                                    Anyama                                ,"                                Nov 11, 1983                                                                    (39)                                                            "
Breno ,18,Centre-Back,Brazil,€12.00m,São Paulo Futebol Clube,Série A,Brazil,€12.00m,2007,Bayern Munich,Bundesliga,Germany,"1,91 m",NONE,"                                    Jan 1, 2021                                ","                                Oct 13, 1989                                                                    (33)                                                            ",14,2,0.50,0,0,0,1,0,0,0,0,0,0,107',                                Brazil                            ,                                    Cruzeiro                                
Branislav Ivanovic ,23,Right-Back,Serbia,€12.00m,Lokomotiv Moscow,Premier Liga,Russia,€12.00m,2007,Chelsea FC,Premier League,England,"1,85 m",NONE,Chelsea,"                                    Jul 1, 2021                                ",6,6,1.33,1,1,0,0,0,1,0,0,0,540',540',                                    Sremska Mitrovica                                ,"                                Feb 22, 1984                                                                    (39)                                                            "
Vincenzo Iaquinta ,27,Centre-Forward,Italy,€12.00m,Udinese Calcio,Serie A,Italy,€11.30m,2007,Juventus FC,Serie A,Italy,"1,91 m",NONE,Udinese,"                                    Jul 1, 2013                                ",30,29,1.69,12,3,0,16,7,5,0,0,1,118',1.420',                                    Cutro                                ,"                                Nov 21, 1979                                                                    (43)                                                            "
Craig Bellamy ,27,Left Winger,Wales,€12.00m,Liverpool FC,Premier League,England,€11.25m,2007,West Ham United,Premier League,England,"1,73 m",NONE,Newcastle,"                                    Jul 1, 2014                                ",9,9,1.89,4,2,0,1,5,2,0,0,0,151',604',                                    Cardiff                                ,"                                Jul 13, 1979                                                                    (43)                                                            "
Scott Parker ,26,Central Midfield,England,€12.00m,Newcastle United,Premier League,England,€10.25m,2007,West Ham United,Premier League,England,"1,80 m",NONE,"                                    Jul 1, 2017                                ","                                Oct 13, 1980                                                                    (42)                                                            ",20,20,1.15,1,0,0,1,7,3,0,0,0,1.607',1.607',                                England                            ,                                    London                                
Juan ,28,Centre-Back,Brazil,€12.00m,Bayer 04 Leverkusen,Bundesliga,Germany,€6.30m,2007,AS Roma,Serie A,Italy,N/A,NONE,B. Leverkusen,"                                    Apr 28, 2019                                ",40,32,2.19,3,0,0,3,3,3,0,1,0,856',2.567',                                    Rio de Janeiro                                ,"                                Feb 1, 1979                                                                    (44)                                                            "
Óscar Cardozo ,24,Centre-Forward,Paraguay,€9.00m,CA Newell's Old Boys,Clausura,Argentina,€11.67m,2007,SL Benfica,Liga Portugal,Portugal,"1,93 m",Pedro Aldave Ortuzar ,"Jul 1, 2017",-,42,42,1.64,18,5,0,9,11,6,0,1,3,168',3.021',Juan Eulogio ... ,"                                May 20, 1983                                                                    (39)                                                            "
Jermain Defoe ,25,Centre-Forward,England,€11.50m,Tottenham Hotspur,Premier League,England,€9.30m,2007,Portsmouth FC,Premier League,England,"1,71 m",Wasserman ,Tottenham,"                                    Mar 24, 2022                                ",46,43,1.53,16,2,0,23,7,6,0,0,2,130',2.077',                                    London                                ,"                                Oct 7, 1982                                                                    (40)                                                            "
Cristiano Lucarelli ,31,Centre-Forward,Italy,€11.50m,AS Livorno,Serie A,Italy,€7.91m,2007,Shakhtar Donetsk,Premier Liga,Ukraine,"1,88 m",NONE,AS Livorno,"                                    Jul 1, 2012                                ",41,39,1.46,12,3,0,9,21,7,0,0,4,206',2.472',                                    Livorno                                ,"                                Oct 4, 1975                                                                    (47)                                                            "
Roy Makaay ,32,Centre-Forward,Netherlands,€11.50m,Bayern Munich,Bundesliga,Germany,€5.00m,2007,Feyenoord Rotterdam,Eredivisie,Netherlands,"1,86 m",NONE,"                                    Jul 1, 2010                                ","                                Mar 9, 1975                                                                    (48)                                                            ",33,33,2.00,20,7,0,1,4,0,0,0,4,139',2.788',                                Netherlands                            ,                                    Wijchen                                
Tuncay Sanli ,25,Left Winger,Turkey,€11.50m,Fenerbahce,Süper Lig,Turkey,free transfer,2007,Middlesbrough FC,Premier League,England,"1,82 m",NONE,Fenerbahce,"                                    Jan 1, 2016                                ",39,38,1.24,8,4,0,9,16,5,0,0,0,309',2.472',                                    Sakarya                                ,"                                Jan 16, 1982                                                                    (41)                                                            "
Mohamed Sissoko ,23,Defensive Midfield,Mali,€9.00m,Liverpool FC,Premier League,England,€11.00m,2007,Juventus FC,Serie A,Italy,"1,91 m",NONE,"                                    Jan 14, 2020                                ","                                Jan 22, 1985                                                                    (38)                                                            ",32,29,1.86,2,0,0,7,4,6,1,0,0,985',1.969',                                Mali                            ,                                    Mont-Saint-Aignan                                
Jonathan Woodgate ,27,Centre-Back,England,€11.00m,Real Madrid,LaLiga,Spain,€9.60m,2007,Middlesbrough FC,Premier League,England,"1,88 m",NONE,Leeds,"                                    Jul 1, 2016                                ",33,33,1.12,2,0,0,0,4,6,0,0,0,1.476',2.951',                                    Nunthorpe                                ,"                                Jan 22, 1980                                                                    (43)                                                            "
Yaya Touré ,24,Central Midfield,Cote d'Ivoire,€11.00m,AS Monaco,Ligue 1,Monaco,€9.00m,2007,FC Barcelona,LaLiga,Spain,"1,88 m",NONE,Man City,"                                    Jan 1, 2020                                ",39,38,1.76,2,0,0,1,16,10,0,0,0,1.530',3.060',                                    Bouaké                                ,"                                May 13, 1983                                                                    (39)                                                            "
Sergio Almirón ,26,Central Midfield,Argentina,€11.00m,Empoli FC ,Serie A,Italy,€9.00m,2007,Juventus FC,Serie A,Italy,"1,80 m",NONE,"                                    Nov 10, 2017                                ","                                Nov 7, 1980                                                                    (42)                                                            ",27,23,1.22,3,1,0,6,6,1,1,0,0,502',1.507',                                Argentina                            ,                                    Santa Fé                                
